iter	Ke_x(1)	Emax_lxr_x(1)	EC50_lxr_x(1)	Ka_fas(1)	Ka_fas_lxr(1)	Ki_fas(1)	Ka_cd36(1)	Ka_cd36_lxr(1)	Ki_cd36(1)	Kf_tga(1)	Ka_tga_fas(1)	Ka_tga_cd36(1)	Ke_tga(1)	LnPrior	LnData	LnPosterior
0	5.46366	7.70644	0.0280993	5.81815	5.81155	3.73153	0.175637	0.988143	0.704966	0.287599	7.30281	0.60358	9.17171	-1.598744e+01	-4.725979e+03	-4.741966e+03
10080	2.96568	0.983613	0.0101215	0.699896	1.8407	0.777225	0.377808	0.0331218	0.593809	0.661857	1.99838	1.34978	1.68908	-1.598744e+01	9.158704e+01	7.559960e+01
10170	2.98205	1.04149	0.0129475	0.795322	2.00881	0.91338	0.326387	0.219819	0.629897	0.634536	2.39676	0.287072	1.68213	-1.598744e+01	8.696661e+01	7.097916e+01
10260	2.99296	1.06098	0.0119535	0.606376	2.66699	0.989865	0.321487	0.106267	0.559288	0.448275	2.7907	2.42118	2.47732	-1.598744e+01	8.848573e+01	7.249829e+01
10350	2.94513	0.981933	0.00999083	0.727142	2.57207	1.05749	0.319296	0.0117097	0.557932	0.509356	2.69783	1.64743	2.11885	-1.598744e+01	8.733046e+01	7.134302e+01
10440	2.94822	0.963103	0.0107189	1.34401	2.52289	1.26887	0.258674	0.112395	0.467652	0.0301206	1.94806	3.71644	1.99822	-1.598744e+01	8.421933e+01	6.823189e+01
10530	2.93195	0.970962	0.011993	1.18098	3.2723	1.34326	0.329672	0.272813	0.730101	0.860405	1.90863	0.897889	1.75035	-1.598744e+01	8.362744e+01	6.764000e+01
10620	2.92076	1.04022	0.0123983	0.926569	2.52622	1.17038	0.409311	0.0530435	0.668131	0.788812	2.33994	1.7759	2.18586	-1.598744e+01	8.957540e+01	7.358795e+01
10710	2.95657	1.00555	0.0106482	0.805296	2.82186	1.07044	0.307431	0.0143881	0.474675	0.409022	2.43263	2.1622	2.24388	-1.598744e+01	8.846992e+01	7.248248e+01
10800	2.85075	1.08369	0.0137257	0.648857	2.38718	0.921413	0.575701	0.083638	0.931797	0.83512	2.1344	1.50805	2.05828	-1.598744e+01	8.992132e+01	7.393388e+01
10890	2.89672	1.13217	0.0154865	0.751469	2.26336	1.00209	0.500168	0.166688	0.914217	0.634443	1.87341	3.57402	2.01556	-1.598744e+01	8.576936e+01	6.978192e+01
10980	2.9654	1.02648	0.0111135	0.86368	2.78717	1.18231	0.560208	0.103662	0.991097	0.951537	2.30432	0.948298	1.98946	-1.598744e+01	9.194155e+01	7.595410e+01
11070	2.97314	1.04012	0.0115696	0.455027	3.1257	1.02694	0.356905	0.13119	0.664806	0.805557	3.07201	3.36252	3.01777	-1.598744e+01	8.680822e+01	7.082078e+01
11160	2.9692	0.965111	0.0113118	0.531794	2.90159	0.918031	0.390785	0.300045	0.86629	0.897155	2.58313	3.21569	2.77985	-1.598744e+01	8.669701e+01	7.070957e+01
11250	2.91703	1.09037	0.0133356	0.568719	2.8334	1.05497	0.48076	0.183235	0.972369	0.499973	2.38717	4.16814	2.64594	-1.598744e+01	8.859350e+01	7.260606e+01
11340	2.92185	0.989587	0.0107567	0.482477	3.28407	1.12931	0.540918	0.268262	0.994711	0.884067	1.82924	3.36287	2.32655	-1.598744e+01	8.583498e+01	6.984754e+01
11430	2.82387	0.999304	0.0130421	0.783425	3.31469	1.27565	0.500878	0.175909	0.951737	0.51306	1.35807	3.42668	1.65455	-1.598744e+01	9.005074e+01	7.406330e+01
11520	2.91078	1.06796	0.0118945	0.724605	2.37842	1.00631	0.361523	0.407203	0.958041	0.922429	1.69347	2.30212	1.83632	-1.598744e+01	8.955944e+01	7.357200e+01
11610	2.98472	0.99917	0.0102917	0.58266	2.70107	1.04265	0.507475	0.0507332	0.913229	0.898061	1.64829	1.49478	1.52658	-1.598744e+01	8.894906e+01	7.296162e+01
11700	2.95488	1.02006	0.0101969	0.544149	2.80158	1.00877	0.561289	0.0407675	0.91137	0.859963	2.56546	2.2633	2.53673	-1.598744e+01	8.979987e+01	7.381243e+01
11790	3.04644	0.935099	0.00809134	0.488668	2.87427	0.967169	0.498939	0.125631	0.92503	0.613412	2.70545	2.50383	2.53702	-1.598744e+01	8.679194e+01	7.080449e+01
11880	2.92299	0.972404	0.0102564	0.765831	2.63203	1.05533	0.294545	0.273185	0.675366	0.410145	2.93346	1.05492	2.17622	-1.598744e+01	8.631523e+01	7.032779e+01
11970	2.92435	1.10314	0.014151	0.834497	2.43203	1.06053	0.390409	0.0155648	0.635202	0.857733	1.93749	0.779549	1.74543	-1.598744e+01	9.065025e+01	7.466281e+01
12060	2.85328	1.03245	0.0133769	0.924936	2.56554	1.12598	0.406902	0.0711635	0.68763	0.578268	1.76817	2.4728	1.80482	-1.598744e+01	9.140361e+01	7.541617e+01
12150	2.87938	1.04261	0.0130805	0.862496	2.64499	1.06023	0.370263	0.221954	0.807532	0.584754	1.68552	2.88858	1.90144	-1.598744e+01	8.961175e+01	7.362431e+01
12240	2.94085	1.01683	0.011071	0.791007	2.00627	0.855714	0.414985	0.204187	0.870584	0.642678	1.57536	2.47173	1.63312	-1.598744e+01	9.187574e+01	7.588830e+01
12330	2.94982	1.00592	0.00986099	0.752716	2.24806	0.998031	0.556128	0.14847	0.970593	0.666226	1.6878	0.47378	1.20767	-1.598744e+01	8.975516e+01	7.376772e+01
12420	2.98091	1.11032	0.0127504	0.611657	1.609	0.645368	0.505423	0.0464909	0.823064	0.24864	1.31768	3.11656	1.3184	-1.598744e+01	8.402266e+01	6.803522e+01
12510	3.0274	1.01578	0.0115185	0.671662	1.97293	0.737084	0.558383	0.0354008	0.898804	0.586854	1.29071	3.69783	1.85768	-1.598744e+01	8.540744e+01	6.941999e+01
12600	3.00677	1.05664	0.0101811	0.533002	2.86769	1.0574	0.471191	0.126384	0.820398	0.850892	1.88936	1.07434	1.59645	-1.598744e+01	8.841393e+01	7.242649e+01
12690	2.87499	1.05286	0.0137109	0.793894	3.18905	1.29133	0.472751	0.317126	0.988729	0.728531	0.695606	3.61332	1.33783	-1.598744e+01	9.032456e+01	7.433712e+01
12780	3.06444	0.946818	0.00780538	0.900017	2.93173	1.24852	0.415017	0.0898963	0.700794	0.533181	0.551012	3.47573	1.10818	-1.598744e+01	8.862954e+01	7.264210e+01
12870	2.97914	1.00326	0.0102076	1.02088	2.93776	1.25639	0.374096	0.0724281	0.680511	0.427532	0.336257	3.00228	0.756115	-1.598744e+01	8.870242e+01	7.271498e+01
12960	2.93042	0.999729	0.0115094	1.0842	2.57903	1.24259	0.392422	0.0578112	0.684132	0.29057	0.209661	3.98411	0.741448	-1.598744e+01	9.175504e+01	7.576760e+01
13050	2.87429	1.07002	0.0161706	0.967823	2.66781	1.14579	0.51651	0.056295	0.826668	0.234666	0.15125	5.15394	1.11038	-1.598744e+01	8.616923e+01	7.018179e+01
13140	2.90385	1.04719	0.011728	0.727995	3.0449	1.18576	0.518914	0.0507121	0.816894	0.248791	0.354946	4.62496	1.17796	-1.598744e+01	8.975498e+01	7.376754e+01
13230	2.96583	0.997672	0.0109008	0.675272	3.67799	1.37088	0.561424	0.0576754	0.88423	0.361517	0.551115	4.01028	1.2487	-1.598744e+01	8.896093e+01	7.297349e+01
13320	2.87944	0.960299	0.0104094	0.631735	3.96626	1.383	0.516032	0.176389	0.960233	0.677706	0.889985	3.89073	1.45514	-1.598744e+01	8.813916e+01	7.215171e+01
13410	2.90439	1.0144	0.0122718	0.603074	3.05246	1.12577	0.429449	0.374355	0.933136	0.635796	0.95258	3.96037	1.51708	-1.598744e+01	8.943393e+01	7.344649e+01
13500	2.98707	1.04372	0.0105294	1.11519	2.52001	1.29275	0.491202	0.196558	0.919811	0.157129	0.889467	5.06588	1.5857	-1.598744e+01	8.839977e+01	7.241233e+01
13590	2.87557	1.04009	0.0139945	0.653631	2.85723	1.05906	0.600883	0.0668811	0.988968	0.522496	1.1016	4.11041	1.78649	-1.598744e+01	8.817185e+01	7.218441e+01
13680	3.06947	0.944928	0.00828423	0.946219	2.24901	0.99179	0.369647	0.190817	0.711657	0.566578	1.63491	2.46357	1.71969	-1.598744e+01	8.887480e+01	7.288736e+01
13770	2.98674	1.03324	0.0111773	0.587947	3.12095	1.11621	0.402277	0.123481	0.706837	0.999683	1.46209	1.8485	1.649	-1.598744e+01	9.107836e+01	7.509092e+01
13860	2.95253	1.01638	0.0113826	0.540368	2.9838	1.07665	0.424539	0.169891	0.83731	0.753883	1.71126	1.37579	1.4931	-1.598744e+01	9.178522e+01	7.579777e+01
13950	2.95146	1.0483	0.0112841	0.740603	2.42942	1.01129	0.457419	0.186596	0.88484	0.767431	1.73345	1.00334	1.55457	-1.598744e+01	9.249705e+01	7.650961e+01
14040	2.99382	0.975939	0.0100681	1.04225	2.25152	1.18312	0.354993	0.21073	0.739963	0.70017	2.50253	0.404152	1.76743	-1.598744e+01	8.798657e+01	7.199913e+01
14130	2.873	1.09838	0.0147589	0.765223	3.04187	1.26378	0.354867	0.043084	0.567764	0.695507	2.44528	0.967032	2.04764	-1.598744e+01	8.854435e+01	7.255691e+01
14220	2.92643	1.03948	0.0128433	0.956696	2.91577	1.21819	0.349895	0.0751228	0.61365	0.681936	1.83485	0.646406	1.52818	-1.598744e+01	9.174207e+01	7.575463e+01
14310	2.88192	1.02807	0.0119768	0.578043	2.99944	1.04653	0.339463	0.0220529	0.56629	0.833695	1.68161	1.86342	1.74486	-1.598744e+01	9.155764e+01	7.557019e+01
